#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
SIO_000539_subClassOf_SIO_000511                                      39        1328                2              360.00         11             280.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_000612_subClassOf_SIO_000015                                      40        1328                2              359.00         14             285.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_000637_subClassOf_SIO_000006                                      41        1328                3              515.00         32             442.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_000659_subClassOf_SIO_000003                                      42        1328                2              344.00         14             277.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010036_subClassOf_SIO_010508                                      43        1328                2              441.00         11             362.00              23             
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
-1        -1        -1             -1             -1             -1                  -1             false     
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010363_subClassOf_SIO_011125                                      45        1328                2              384.00         11             311.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010423_subClassOf_SIO_011125                                      46        1328                2              362.00         10             290.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010432_subClassOf_SIO_011125                                      47        1328                1              327.00         7              257.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010455_subClassOf_SIO_011125                                      48        1328                1              321.00         7              253.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010457_subClassOf_SIO_010456                                      49        1328                1              329.00         6              259.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010458_subClassOf_SIO_010456                                      50        1328                1              326.00         6              256.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010462_subClassOf_SIO_011126                                      51        1328                2              348.00         11             275.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010463_subClassOf_SIO_011126                                      52        1328                2              346.00         11             270.00              23             
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
-1        -1        -1             -1             -1             -1                  -1             false     
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010782_subClassOf_SIO_010780                                      54        1328                2              362.00         10             290.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
SIO_010783_subClassOf_SIO_010780                                      55        1328                2              365.00         12             291.00              23             
